Fecha;Mes;Día de la Semana;Horario;Diurno/nocturno;Edad agrupada;Edad;Sexo;Tipo de víctima;Código de partido
20/6/2020;Junio;Sábado;13:40:00;Diurno;15 - 24;16;Masculino;Sin determinar;28
20/6/2020;Junio;Sábado;19:00:00;Nocturno;25 - 34;30;Masculino;Sin determinar;28
20/6/2020;Junio;Sábado;20:45:00;Nocturno;35 - 44;43;Masculino;Sin determinar;28
20/6/2020;Junio;Sábado;18:45:00;Diurno;45 - 54;46;Femenino;Sin determinar;28
20/6/2020;Junio;Sábado;07:55:00;Diurno;25 - 34;32;Femenino;Sin determinar;260
20/6/2020;Junio;Sábado;21:10:00;Nocturno;45 - 54;47;Masculino;Sin determinar;260
20/6/2020;Junio;Sábado;14:55:00;Diurno;25 - 34;29;Femenino;Sin determinar;270
20/6/2020;Junio;Sábado;15:09:00;Diurno;25 - 34;25;Masculino;Sin determinar;490
20/6/2020;Junio;Sábado;08:10:00;Diurno;35 - 44;35;Masculino;Sin determinar;490
20/6/2020;Junio;Sábado;16:39:00;Diurno;5 - 14;7;Masculino;Sin determinar;490
21/6/2020;Junio;Domingo;14:00:00;Diurno;15 - 24;23;Femenino;Sin determinar;270
20/6/2020;Junio;Sábado;13:35:00;Diurno;35 - 44;42;Masculino;Sin determinar;260
21/6/2020;Junio;Domingo;19:30:00;Nocturno;35 - 44;44;Femenino;Sin determinar;28
21/6/2020;Junio;Domingo;18:45:00;Diurno;55 - 64;62;Masculino;Sin determinar;490
22/6/2020;Junio;Lunes;19:00:00;Nocturno;25 - 34;26;Femenino;Sin determinar;260
22/6/2020;Junio;Lunes;10:50:00;Diurno;35 - 44;40;Masculino;Sin determinar;490
22/6/2020;Junio;Lunes;17:45:00;Diurno;15 - 24;20;Femenino;Sin determinar;490
22/6/2020;Junio;Lunes;13:55:00;Diurno;55 - 64;62;Masculino;Sin determinar;490
23/6/2020;Junio;Martes;11:00:00;Diurno;55 - 64;64;Femenino;Sin determinar;490
23/6/2020;Junio;Martes;03:20:00;Nocturno;15 - 24;20;Femenino;Sin determinar;490
23/6/2020;Junio;Martes;13:45:00;Diurno;15 - 24;17;Masculino;Sin determinar;28
23/6/2020;Junio;Martes;07:45:00;Diurno;Sin determinar;Sin determinar;Masculino;Sin determinar;28
24/6/2020;Junio;Miércoles;16:00:00;Diurno;Sin determinar;Sin determinar;Sin determinar;Sin determinar;270
24/6/2020;Junio;Miércoles;16:00:00;Diurno;15 - 24;21;Masculino;Sin determinar;270
24/6/2020;Junio;Miércoles;19:25:00;Nocturno;25 - 34;26;Masculino;Sin determinar;260
24/6/2020;Junio;Miércoles;18:30:00;Diurno;35 - 44;37;Masculino;Sin determinar;28
24/6/2020;Junio;Miércoles;19:00:00;Nocturno;Sin determinar;Sin determinar;Masculino;Sin determinar;28
24/6/2020;Junio;Miércoles;15:00:00;Diurno;35 - 44;38;Masculino;Sin determinar;490
24/6/2020;Junio;Miércoles;11:50:00;Diurno;45 - 54;45;Femenino;Sin determinar;490
25/6/2020;Junio;Jueves;15:00:00;Diurno;25 - 34;29;Masculino;Sin determinar;270
25/6/2020;Junio;Jueves;11:00:00;Diurno;35 - 44;37;Masculino;Sin determinar;28
25/6/2020;Junio;Jueves;15:15:00;Diurno;55 - 64;55;Masculino;Sin determinar;28
25/6/2020;Junio;Jueves;20:30:00;Nocturno;25 - 34;34;Masculino;Sin determinar;260
25/6/2020;Junio;Jueves;22:00:00;Nocturno;35 - 44;40;Masculino;Sin determinar;28
25/6/2020;Junio;Jueves;12:00:00;Diurno;15 - 24;19;Masculino;Sin determinar;28
26/6/2020;Junio;Viernes;10:20:00;Diurno;15 - 24;23;Femenino;Sin determinar;260
26/6/2020;Junio;Viernes;18:40:00;Diurno;35 - 44;39;Masculino;Sin determinar;260
26/6/2020;Junio;Viernes;15:10:00;Diurno;15 - 24;23;Masculino;Sin determinar;490
26/6/2020;Junio;Viernes;17:15:00;Diurno;45 - 54;47;Masculino;Sin determinar;28
26/6/2020;Junio;Viernes;14:00:00;Diurno;45 - 54;52;Femenino;Sin determinar;28
27/6/2020;Junio;Sábado;13:30:00;Diurno;45 - 54;49;Femenino;Sin determinar;260
27/6/2020;Junio;Sábado;18:30:00;Diurno;25 - 34;28;Masculino;Sin determinar;260
27/6/2020;Junio;Sábado;19:30:00;Nocturno;Sin determinar;Sin determinar;Femenino;Sin determinar;260
27/6/2020;Junio;Sábado;14:38:00;Diurno;15 - 24;17;Masculino;Sin determinar;260
25/6/2020;Junio;Jueves;16:00:00;Diurno;15 - 24;16;Masculino;Sin determinar;28
25/6/2020;Junio;Jueves;19:30:00;Nocturno;15 - 24;19;Masculino;Sin determinar;28
27/6/2020;Junio;Sábado;21:00:00;Nocturno;25 - 34;30;Femenino;Sin determinar;28
