Origen de la base;Código de partido;Fecha del hecho;Mes;Hora del hecho;Diurno/Nocturno;Edad;Edad agrupada;Sexo
Ministerio de Seguridad;763;11/5/2018;Mayo;18:00:00;Diurno;26;25 a 34;Varón
Ministerio de Seguridad;665;16/6/2018;Junio;21:40:00;Nocturno;17;15 a 24;Mujer
Ministerio de Seguridad;763;8/7/2018;Julio;18:00:00;Diurno;49;45 a 54;Varón
Ministerio de Seguridad;770;14/7/2018;Julio;04:30:00;Nocturno;24;15 a 24;Mujer
Ministerio de Seguridad;763;17/7/2018;Julio;12:15:00;Diurno;71;65 a 74;Varón
Ministerio de Seguridad;763;17/7/2018;Julio;01:30:00;Nocturno;21;15 a 24;Mujer
Ministerio de Seguridad;665;22/7/2018;Julio;11:00:00;Diurno;38;35 a 44;Varón
Ministerio de Seguridad;763;23/7/2018;Julio;21:30:00;Nocturno;24;15 a 24;Varón
Ministerio de Seguridad;763;5/8/2018;Agosto;06:00:00;Nocturno;32;25 a 34;Varón
Ministerio de Seguridad;070;6/8/2018;Agosto;15:30:00;Diurno;41;35 a 44;Varón
Ministerio de Seguridad;770;21/8/2018;Agosto;16:00:00;Diurno;26;25 a 34;Varón
Ministerio de Seguridad;763;24/8/2018;Agosto;15:40:00;Diurno;23;15 a 24;Varón
Ministerio de Seguridad;665;2/10/2018;Octubre;09:50:00;Diurno;22;15 a 24;Varón
Ministerio de Seguridad;070;3/10/2018;Octubre;19:00:00;Diurno;13;5 a 14;Mujer
Ministerio de Seguridad;665;20/10/2018;Octubre;18:00:00;Diurno;47;45 a 54;Varón
Ministerio de Seguridad;770;4/11/2018;Noviembre;22:00:00;Nocturno;27;25 a 34;Varón
Ministerio de Seguridad;763;14/11/2018;Noviembre;12:00:00;Diurno;36;35 a 44;Mujer
Ministerio de Seguridad;763;1/12/2018;Diciembre;14:00:00;Diurno;30;25 a 34;Mujer
Ministerio de Seguridad;763;13/12/2018;Diciembre;18:30:00;Diurno;45;45 a 54;Varón
Ministerio de Seguridad;623;2/1/2018;Enero;02:10:00;Nocturno;16;15 a 24;Varón
Ministerio de Seguridad;623;2/1/2018;Enero;02:10:00;Nocturno;17;15 a 24;Varón
Ministerio de Seguridad;623;17/1/2018;Enero;02:00:00;Nocturno;36;35 a 44;Varón
Ministerio de Seguridad;623;29/1/2018;Enero;20:45:00;Nocturno;23;15 a 24;Varón
Ministerio de Seguridad;623;4/2/2018;Febrero;11:45:00;Diurno;29;25 a 34;Varón
Ministerio de Seguridad;077;3/2/2018;Febrero;15:46:00;Diurno;14;5 a 14;Varón
Ministerio de Seguridad;623;6/2/2018;Febrero;01:50:00;Nocturno;42;35 a 44;Varón
Ministerio de Seguridad;623;12/2/2018;Febrero;11:30:00;Diurno;41;35 a 44;Varón
Ministerio de Seguridad;623;13/2/2018;Febrero;11:40:00;Diurno;16;15 a 24;Varón
Ministerio de Seguridad;623;19/2/2018;Febrero;13:53:00;Diurno;21;15 a 24;Varón
Ministerio de Seguridad;623;26/2/2018;Febrero;23:05:00;Nocturno;36;35 a 44;Varón
Ministerio de Seguridad;623;28/2/2018;Febrero;08:32:00;Diurno;30;25 a 34;Varón
Ministerio de Seguridad;175;26/2/2018;Febrero;12:00:00;Diurno;44;35 a 44;Varón
Ministerio de Seguridad;175;3/3/2018;Marzo;11:35:00;Diurno;38;35 a 44;Mujer
Ministerio de Seguridad;623;13/3/2018;Marzo;18:00:00;Diurno;30;25 a 34;Varón
Ministerio de Seguridad;175;10/3/2018;Marzo;00:05:00;Nocturno;30;25 a 34;Varón
Ministerio de Seguridad;623;17/3/2018;Marzo;10:15:00;Diurno;49;45 a 54;Varón
Ministerio de Seguridad;623;17/3/2018;Marzo;10:15:00;Diurno;67;65 a 74;Varón
Ministerio de Seguridad;077;31/3/2018;Marzo;16:00:00;Diurno;50;45 a 54;Mujer
Ministerio de Seguridad;077;31/3/2018;Marzo;16:00:00;Diurno;Sin determinar;Sin determinar;Mujer
Ministerio de Seguridad;077;2/4/2018;Abril;14:00:00;Diurno;18;15 a 24;Varón
Ministerio de Seguridad;623;3/4/2018;Abril;12:20:00;Diurno;34;25 a 34;Varón
Ministerio de Seguridad;623;10/4/2018;Abril;19:30:00;Nocturno;47;45 a 54;Varón
Ministerio de Seguridad;623;16/4/2018;Abril;17:45:00;Diurno;26;25 a 34;Mujer
Ministerio de Seguridad;623;16/4/2018;Abril;17:45:00;Diurno;1;0 a 4;Varón
Ministerio de Seguridad;623;25/4/2018;Abril;13:00:00;Diurno;36;35 a 44;Mujer
Ministerio de Seguridad;623;28/4/2018;Abril;06:00:00;Nocturno;17;15 a 24;Varón
Ministerio de Seguridad;763;5/1/2018;Enero;17:00:00;Diurno;30;25 a 34;Mujer
Ministerio de Seguridad;763;6/1/2018;Enero;05:30:00;Nocturno;20;15 a 24;Varón
Ministerio de Seguridad;763;12/1/2018;Enero;19:00:00;Diurno;20;15 a 24;Varón
Ministerio de Seguridad;763;27/2/2018;Febrero;16:00:00;Diurno;34;25 a 34;Varón
Ministerio de Seguridad;770;19/3/2018;Marzo;11:00:00;Diurno;30;25 a 34;Varón
Ministerio de Seguridad;763;25/3/2018;Marzo;20:50:00;Nocturno;18;15 a 24;Varón
Ministerio de Seguridad;763;28/3/2018;Marzo;19:30:00;Nocturno;20;15 a 24;Varón
Ministerio de Seguridad;763;9/4/2018;Abril;05:55:00;Nocturno;35;35 a 44;Varón
Ministerio de Seguridad;763;12/4/2018;Abril;22:00:00;Nocturno;25;25 a 34;Mujer
Ministerio de Seguridad;763;12/4/2018;Abril;20:10:00;Nocturno;20;15 a 24;Varón
Ministerio de Seguridad;770;16/4/2018;Abril;08:00:00;Diurno;37;35 a 44;Mujer
Ministerio de Seguridad;763;22/4/2018;Abril;22:00:00;Nocturno;22;15 a 24;Varón
Ministerio de Seguridad;763;11/5/2018;Mayo;23:00:00;Nocturno;22;15 a 24;Mujer
Ministerio de Seguridad;763;14/5/2018;Mayo;12:30:00;Diurno;17;15 a 24;Varón
Ministerio de Seguridad;763;15/5/2018;Mayo;16:30:00;Diurno;26;25 a 34;Mujer
Ministerio de Seguridad;763;25/5/2018;Mayo;09:00:00;Diurno;53;45 a 54;Varón
Ministerio de Seguridad;763;23/7/2018;Julio;21:30:00;Nocturno;35;35 a 44;Mujer
Ministerio de Seguridad;770;15/8/2018;Agosto;11:30:00;Diurno;24;15 a 24;Varón
Ministerio de Seguridad;770;23/8/2018;Agosto;22:00:00;Nocturno;18;15 a 24;Varón
Ministerio de Seguridad;770;25/8/2018;Agosto;13:40:00;Diurno;21;15 a 24;Varón
Ministerio de Seguridad;770;25/8/2018;Agosto;02:00:00;Nocturno;30;25 a 34;Mujer
Ministerio de Seguridad;763;27/8/2018;Agosto;23:40:00;Nocturno;26;25 a 34;Varón
Ministerio de Seguridad;665;26/9/2018;Septiembre;23:40:00;Nocturno;21;15 a 24;Varón
Ministerio de Seguridad;763;29/9/2018;Septiembre;18:30:00;Diurno;22;15 a 24;Mujer
Ministerio de Seguridad;763;3/10/2018;Octubre;22:30:00;Nocturno;51;45 a 54;Varón
Ministerio de Seguridad;763;14/10/2018;Octubre;08:00:00;Diurno;44;35 a 44;Varón
Ministerio de Seguridad;665;1/12/2018;Diciembre;20:00:00;Nocturno;47;45 a 54;Mujer
Ministerio de Seguridad;763;13/12/2018;Diciembre;08:00:00;Diurno;35;35 a 44;Varón
Ministerio de Seguridad;763;22/12/2018;Diciembre;12:00:00;Diurno;17;15 a 24;Varón
Ministerio de Seguridad;623;7/1/2018;Enero;22:00:00;Nocturno;26;25 a 34;Mujer
Ministerio de Seguridad;623;1/1/2018;Enero;12:10:00;Diurno;27;25 a 34;Varón
Ministerio de Seguridad;623;1/1/2018;Enero;12:10:00;Diurno;20;15 a 24;Varón
